Constituency,Youth_Electorate_Pct,Senior_Electorate_Pct,First_Time_Voter_Pct,Male_Pop,Female_Pop,Female_to_Male_Ratio,Female_Pop_Pct,Pucca_Pct,Semi_Pucca_Pct,Kancha_Pct,Jhupri_Pct,Extreme_Poverty_Pct,Wealth_Polarization_Index,Organized_Learning_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,NEET_Youth_Pct,Financial_Inclusion_Pct,Internet_Pct,Winning_Party,Winner_Name,Winner_Votes,RunnerUp_Votes,Voter_Turnout_Pct,Total_Valid_Votes,Total_Registered_Voters,YES_Pct,NO_Pct,Coalition,Winner_Vote_Share_Pct,Victory_Margin_Pct,Digital_Youth_Index,Urban_Proxy,WPI_Log,Infrastructure_Composite,Deprivation_Index
Netrokona-1,39.19,15.98,15.35,84536.67,86999.67,101.01,50.24,1.8,11.21,85.37,1.61,86.99,0.02,46.44,34.0,98.94,5.08,40.36,35.39,15.38,Bangladesh Nationalist Party,Barrister Kaiser Kamal,158434.0,87388.0,56.93,251496.0,453089.0,63.32,36.68,BNP_COALITION,62.9966281769889,28.24935585456628,602.7422,0.09144000000000001,0.019802627296179712,46.00666666666667,63.675
Cox's Bazar-4,50.32,7.72,19.32,105186.33,102550.67,97.05,49.25,18.01,27.95,42.45,11.59,54.04,0.41,55.64,55.58,99.26,17.56,36.11,47.69,23.15,Bangladesh Nationalist Party,Shahjahan Chowdhury,123582.0,122033.0,67.95,247782.0,371822.0,67.51,32.49,BNP_COALITION,49.875293604862335,0.6251462979554608,1164.908,3.1625560000000004,0.3435897043900769,57.46666666666667,45.075
Cumilla-3,39.93,14.77,15.68,136053.0,156256.5,120.8,54.68,9.18,7.08,83.49,0.24,83.73,0.11,54.44,55.36,99.56,9.45,39.45,40.46,28.84,Bangladesh Nationalist Party,Kazi Shah Mofazzal Hossain (Kaikobad),159291.0,109599.0,56.35,267807.0,491227.0,76.5,23.5,BNP_COALITION,59.4797746138077,18.555153524739833,1151.5812,0.8675099999999999,0.10436001532424277,54.79,61.59
Cumilla-6,42.04,11.35,15.48,1077908.0,1216690.0,105.63,51.33,45.7,20.87,33.05,0.38,33.43,2.81,57.1,62.9,99.34,19.05,32.96,49.05,30.57,Bangladesh Nationalist Party,Md. Monirul Haque Chowdhury,201706.0,119851.0,52.57,323747.0,632858.0,68.42,31.58,BNP_COALITION,62.30358891356522,25.283631971879277,1285.1628,8.70585,1.3376291891386096,60.43000000000001,33.195
Narsingdi-2,39.88,11.79,13.38,125306.0,123845.0,98.83,49.71,24.5,31.08,44.33,0.09,44.42,0.55,55.16,51.74,99.09,7.78,35.96,45.37,17.23,Bangladesh Nationalist Party,Dr. Abdul Moin Khan,92739.0,55920.0,60.96,168968.0,283779.0,,,BNP_COALITION,54.88554045736471,21.790516547511952,687.1324000000001,1.9061000000000001,0.4382549309311553,52.870000000000005,40.19
Rajshahi-4,30.08,13.76,10.98,185297.0,188648.0,101.81,50.45,10.0,22.65,67.3,0.04,67.34,0.15,61.27,67.35,99.75,3.83,34.33,48.36,19.53,Bangladesh Jamaat-e-Islami,Md. Abdul Bari Sardar,115226.0,109461.0,72.21,224580.0,316521.0,,,JAMAAT_REFORM,51.307329236797585,2.5670139816546445,587.4624,0.38299999999999995,0.13976194237515868,56.97666666666667,50.835
Shariatpur-1,39.02,14.48,14.36,178626.0,191188.6,104.68,51.13,19.54,12.42,67.65,0.39,68.04,0.34,57.89,64.15,99.76,12.58,37.47,46.06,35.59,Bangladesh Nationalist Party,Saeed Ahmed,77398.0,62717.0,43.31,164908.0,390359.0,,,BNP_COALITION,46.93404807529046,8.90253959783637,1388.7218000000003,2.458132,0.29266961396282,58.83000000000001,52.755
Jamalpur-3,34.64,15.86,13.96,104106.0,109919.67,104.77,51.16,2.82,12.76,84.2,0.22,84.42,0.03,53.48,50.62,99.5,3.98,34.56,40.32,20.86,Bangladesh Nationalist Party,Md. Mostafizur Rahman Babul,207412.0,81430.0,59.74,312893.0,534623.0,80.84,19.16,BNP_COALITION,66.28847561306901,40.26360449099213,722.5904,0.11223599999999999,0.0295588022415444,51.36666666666667,59.49
Cox's Bazar-2,44.96,9.84,18.11,95285.33,90878.33,96.22,49.03,10.53,14.49,65.61,9.38,74.99,0.16,54.09,53.27,98.79,5.77,36.69,44.19,20.08,Bangladesh Nationalist Party,Alamgir Muhammad Mahfuz Ullah Farid,125543.0,91889.0,59.85,224170.0,383639.0,59.86,40.14,BNP_COALITION,56.003479502163536,15.012713565597538,902.7968,0.6075809999999999,0.14842000511827327,52.61000000000001,55.839999999999996
Gaibandha-3,32.97,16.14,12.69,139979.0,150546.0,107.64,51.84,3.91,22.02,73.92,0.15,74.07,0.05,54.92,58.33,99.48,4.01,34.78,54.85,16.12,Bangladesh Jamaat-e-Islami,Abul Kawsar Mohammad Nazrul Islam,85816.0,55500.0,63.09,309352.0,501943.0,,,JAMAAT_REFORM,27.740567379554683,9.799839664847811,531.4764,0.156791,0.04879016416943201,53.94,54.425
